Annotation	Gene	Input
Aldosterone synthesis and secretion	Plcb2	1
Aldosterone synthesis and secretion	Plcb3	1
Aldosterone synthesis and secretion	Plcb4	1
Aldosterone synthesis and secretion	Prkaca	1
Aldosterone synthesis and secretion	Prkacb	1
Aldosterone synthesis and secretion	Prkca	1
Aldosterone synthesis and secretion	Prkcb	1
Aldosterone synthesis and secretion	Prkce	1
Aldosterone synthesis and secretion	Prkcg	1
Aldosterone synthesis and secretion	Prkd1	1
Aldosterone synthesis and secretion	Prkd2	1
Aldosterone synthesis and secretion	Prkd3	1
Aldosterone synthesis and secretion	Scarb1	1
Aldosterone synthesis and secretion	Star	1
Aldosterone-regulated sodium reabsorption	Atp1a1	1
Aldosterone-regulated sodium reabsorption	Atp1a2	1
Aldosterone-regulated sodium reabsorption	Atp1a3	1
Aldosterone-regulated sodium reabsorption	Atp1a4	1
Aldosterone-regulated sodium reabsorption	Atp1b1	1
Aldosterone-regulated sodium reabsorption	Atp1b2	1
Aldosterone-regulated sodium reabsorption	Atp1b3	1
Aldosterone-regulated sodium reabsorption	Atp1b4	1
Aldosterone-regulated sodium reabsorption	Fxyd2	1
Aldosterone-regulated sodium reabsorption	Fxyd4	1
Aldosterone-regulated sodium reabsorption	Hsd11b2	1
Aldosterone-regulated sodium reabsorption	Igf1	1
Aldosterone-regulated sodium reabsorption	Ins1	1
Aldosterone-regulated sodium reabsorption	Ins2	1
Aldosterone-regulated sodium reabsorption	Insr	1
Aldosterone-regulated sodium reabsorption	Irs1	1
Aldosterone-regulated sodium reabsorption	Kcnj1	1
Aldosterone-regulated sodium reabsorption	Kras	1
Aldosterone-regulated sodium reabsorption	Mapk1	1
Aldosterone-regulated sodium reabsorption	Mapk3	1
Aldosterone-regulated sodium reabsorption	Nedd4l	1
Aldosterone-regulated sodium reabsorption	Nr3c2	1
Aldosterone-regulated sodium reabsorption	Pdpk1	1
Aldosterone-regulated sodium reabsorption	Pik3ca	1
Aldosterone-regulated sodium reabsorption	Pik3cb	1
Aldosterone-regulated sodium reabsorption	Pik3cd	1
Aldosterone-regulated sodium reabsorption	Pik3r1	1
Aldosterone-regulated sodium reabsorption	Pik3r2	1
Aldosterone-regulated sodium reabsorption	Pik3r3	1
Aldosterone-regulated sodium reabsorption	Prkca	1
Aldosterone-regulated sodium reabsorption	Prkcb	1
Aldosterone-regulated sodium reabsorption	Prkcg	1
Aldosterone-regulated sodium reabsorption	Scnn1a	1
Aldosterone-regulated sodium reabsorption	Scnn1b	1
Aldosterone-regulated sodium reabsorption	Scnn1g	1
Aldosterone-regulated sodium reabsorption	Sfn	1
Aldosterone-regulated sodium reabsorption	Sgk1	1
Aldosterone-regulated sodium reabsorption	Slc9a3r2	1
alpha-Linolenic acid metabolism	Acaa1a	1
alpha-Linolenic acid metabolism	Acaa1b	1
alpha-Linolenic acid metabolism	Acox1	1
alpha-Linolenic acid metabolism	Acox3	1
alpha-Linolenic acid metabolism	Fads2	1
alpha-Linolenic acid metabolism	Pla2g10	1
alpha-Linolenic acid metabolism	Pla2g12a	1
alpha-Linolenic acid metabolism	Pla2g12b	1
alpha-Linolenic acid metabolism	Pla2g1b	1
alpha-Linolenic acid metabolism	Pla2g2a	1
alpha-Linolenic acid metabolism	Pla2g2c	1
alpha-Linolenic acid metabolism	Pla2g2d	1
alpha-Linolenic acid metabolism	Pla2g2e	1
alpha-Linolenic acid metabolism	Pla2g2f	1
alpha-Linolenic acid metabolism	Pla2g3	1
alpha-Linolenic acid metabolism	Pla2g4a	1
alpha-Linolenic acid metabolism	Pla2g4b	1
alpha-Linolenic acid metabolism	Pla2g4c	1
alpha-Linolenic acid metabolism	Pla2g4d	1
alpha-Linolenic acid metabolism	Pla2g4e	1
alpha-Linolenic acid metabolism	Pla2g4f	1
alpha-Linolenic acid metabolism	Pla2g5	1
alpha-Linolenic acid metabolism	Pla2g6	1
alpha-Linolenic acid metabolism	Plaat3	1
alpha-Linolenic acid metabolism	Plb1	1
Alzheimer's disease	Adam10	1
Alzheimer's disease	Adam17	1
Alzheimer's disease	Apaf1	1
Alzheimer's disease	Apbb1	1
Alzheimer's disease	Aph1a	1
Alzheimer's disease	Aph1b	1
Alzheimer's disease	Aph1c	1
Alzheimer's disease	Apoe	1
Alzheimer's disease	App	1
Alzheimer's disease	Atf6	1
Alzheimer's disease	Atp2a1	1
Alzheimer's disease	Atp2a2	1
Alzheimer's disease	Atp2a3	1
Alzheimer's disease	Atp5a1	1
Alzheimer's disease	Atp5b	1
