TF	Target	Corr
Fosl1	Smurf1	1
Fosl1	Lmna	1
Fosl1	Praf2	1
Fosl1	Shc3	1
Fosl1	Gstp1	1
Fosl1	Lhx6	1
Fosl1	Rc3h1	1
Fosl1	Coq10b	1
Fosl1	Ldb3	1
Fosl1	Vit	1
Fosl1	Vps13d	1
Fosl1	Mapre2	1
Fosl1	Ereg	1
Fosl1	Tmie	1
Fosl1	Bach1	1
Fosl1	S100a2	1
Fosl1	Nf1	1
Fosl1	Zfp771	1
Fosl1	Tbc1d17	1
Fosl1	Tctex1d4	1
Fosl1	Ank3	1
Fosl1	Csrnp1	1
Fosl1	Bhlhe40	1
Fosl1	Plekhg4	1
Fosl1	Ddr1	1
Fosl1	Heph	1
Fosl1	Slc24a2	1
Fosl1	Rabgap1l	1
Fosl1	Mical2	1
Fosl1	Exd1	1
Fosl1	Fam180a	1
Fosl1	Wdr13	1
Fosl1	Clu	1
Fosl1	Ctnna1	1
Fosl1	Tubb4b	1
Fosl1	Plaur	1
Fosl1	Cxcl14	1
Fosl1	Arhgef10l	1
Fosl1	9930013L23Rik	1
Fosl1	Ewsr1	1
Fosl1	Il11	1
Fosl1	Elf5	1
Fosl1	Prx	1
Fosl1	S100a4	1
Fosl1	Olr1	1
Fosl1	Hs1bp3	1
Fosl1	Has2	1
Fosl1	Zfp574	1
Fosl1	AU040320	1
Fosl1	Fgf7	1
Fosl1	Il1rl1	1
Fosl1	Rb1cc1	1
Fosl1	En1	1
Fosl1	Ptprr	1
Fosl1	Col8a1	1
Fosl1	Mdm2	1
Fosl1	Lsp1	1
Fosl1	Klhl21	1
Fosl1	Ptbp1	1
Fosl1	Slc9a3r2	1
Fosl1	Acadvl	1
Fosl1	Eif1ax	1
Fosl1	Mapk6	1
Fosl1	Rps6ka4	1
Fosl1	Gnat2	1
Fosl1	Pvr	1
Fosl1	Rin1	1
Fosl1	Erbb3	1
Fosl1	Trib1	1
Fosl1	Vapa	1
Fosl1	Plekhh3	1
Fosl1	Txnrd1	1
Fosl1	Rilp	1
Fosl1	Tcf12	1
Fosl1	Ptgs2	1
Fosl1	Bag3	1
Fosl1	Serpine1	1
Fosl1	Col7a1	1
Fosl1	Nacc2	1
Fosl1	Lox	1
Fosl1	Polr2h	1
Fosl1	Dnajb5	1
Fosl1	Ptpn23	1
Fosl1	Tfe3	1
Fosl1	Ptrh1	1
Fosl1	Timp1	1
Fosl1	F2	1
