GeneName	0h	1h	4h	10h	20h	36h	48h	72h	168h	4w
Egflam	-2.924590635	-4.112946809	-4.24001601	-4.620040855	-3.776407265	-3.876110513	-3.526032413	-3.344112704	-3.804222235	-4.060040916
Egfr	5.281824223	6.224048451	6.946259891	6.081086384	6.058830719	5.44381087	6.040695878	5.94464196	5.516749566	5.796963862
Egln1	2.459017929	2.408785763	1.971150946	2.363614804	2.556912247	3.012573356	2.692408991	2.332097076	2.630164599	2.513620385
Egln2	3.498684129	3.810205118	2.842171528	3.478788661	3.572395159	3.806723831	3.823213352	3.654298079	3.552759786	3.451394188
Egln3	2.077487788	2.214974246	2.072621363	2.724516868	3.124297672	2.866354468	2.322232505	2.475080253	2.461304496	2.55800571
Egr1	2.766172955	3.312313439	4.741308683	2.260923411	2.61467733	2.795766948	3.3200547	4.034940106	4.504668141	3.714483694
Egr2	-5.395671767	-3.649297672	-3.326113014	-4.241098709	-4.844930901	-5.237212271	-4.042170788	-5.681779212	-4.917850776	-6.658437146
Egr3	-5.184017681	-4.128329984	-5.46832994	-4.905289803	-5.239227512	-5.150357718	-4.923276832		-3.376000176	-4.454039141
Ehbp1	0.347971198	0.417501178	-0.672936444	-0.053362102	0.318471752	0.328192007	0.625317276	0.393554016	0.369898673	0.377113137
Ehbp1l1	-0.599544271	-1.149786697	-1.189098313	-0.499918231	-0.04042846	-0.525424353	0.273025492	0.263714518	-0.173835813	-0.362123624
Ehd1	2.746435996	2.646884153	2.028017158	3.190343357	3.055652423	3.215000324	3.44042941	3.353020934	3.1686104	2.928686551
Ehd2	-0.60786144	-1.167962769	-1.250695687	-0.625181518	-0.204377358	-0.235101687	-0.024385735	-0.116358855	-0.322475263	-0.782770585
Ehd3	3.537962149	3.643650558	3.174180332	2.897614331	3.065124045	3.061751311	3.427595502	3.347559259	3.841437831	3.441400324
Ehd4	0.295468358	0.170923847	0.874303545	1.97275767	1.122199759	1.739088863	1.488910804	1.447368382	0.875965875	0.552840556
Ehf	-2.235231867	-3.089555996	-3.872316895	-3.550346677	-3.10846936	-3.368694886	-3.055855072	-3.332900707	-2.493476072	-2.836047227
Ehhadh	6.043265132	6.188207602	6.732761695	7.503393962	6.384469628	7.302144843	5.726417044	5.931573747	6.360361603	6.423988909
Ehmt1	1.030328266	0.89221599	1.00146819	1.631281505	1.408595647	1.580439565	1.291730343	1.248005787	1.26695752	1.101911133
Ehmt2	2.58132077	2.393617344	1.925812671	2.808257175	2.886687743	3.047359446	3.200399488	3.040654084	3.001638394	2.847951079
Ei24	6.026915697	6.414929185	6.440786307	6.160266852	6.34801961	6.208576024	6.388914515	6.092441408	6.047343018	6.003802992
Eid1	0.922176729	0.557868332	-0.184662088	1.276494114	1.676694727	1.417143807	1.707717329	1.8776813	1.019861063	0.51115337
Eid2	-2.453401564	-3.066509713	-3.915055895	-2.322728174	-2.546757901	-2.256086639	-2.683596062	-1.866556973	-2.225777286	-2.969803039
Eid2b	0.115727939	-0.637797238	-0.496358985	0.155602138	-0.182666299	-0.028727015	-0.063553152	-0.318257001	0.002386859	-0.241667226
Eif1	6.634312392	6.619004368	6.688618508	6.622067018	6.553212591	6.514046674	6.438234064	6.093155217	6.073176032	6.225225236
Eif1a	4.230662733	4.40950421	5.336573068	4.582077365	5.037248056	4.380227351	5.049578459	5.102831035	4.54972492	4.073497937
Eif1ad	2.62660452	2.443161715	2.729363653	2.999232956	2.774147088	3.332316545	3.245529056	2.8018125	2.399894178	2.508657386
Eif1ax	2.586273441	2.542928129	2.534436643	2.745791345	2.665165296	2.730795161	2.795964038	2.919283679	2.792982231	2.596532502
Eif1b	3.729485972	3.219173723	3.537864209	3.792271043	3.666646061	3.820014682	4.011325604	3.627568347	3.217770375	3.266270903
Eif2a	2.33920993	2.213020629	2.312419314	2.463038585	2.228306585	2.386845236	2.65431642	2.608352854	2.448876496	2.252217443
Eif2ak1	2.780333855	2.901591559	2.433133653	2.58798333	2.628323534	2.77208189	2.877508166	2.558783576	2.862180922	2.897901838
Eif2ak2	1.09349905	0.925562361	1.72516203	1.758284888	1.938298097	1.698975065	1.812407231	1.596561092	1.925434496	1.853523882
Eif2ak3	1.267672269	1.100134508	1.660434131	1.831248847	1.709474717	1.458239242	2.702017686	2.422399798	1.899061753	1.382999705
Eif2ak4	-0.050448535	-0.109224809	0.008855077	-0.075232204	0.160686319	0.448850454	0.035440549	0.337087797	0.188128555	0.244974515
Eif2b1	2.722825641	2.5988422	2.977583667	3.111529202	2.944770362	3.170968827	3.116769335	2.825448325	2.73943463	2.659940563
Eif2b2	2.4871098	2.409834468	2.546610392	2.977804135	2.572425274	2.758745734	2.944186944	2.7384507	2.602125485	2.417402335
Eif2b3	-0.14212894	0.015266879	0.587276653	0.92023681	0.334348094	0.603110476	0.22425064	0.485322176	-0.119921388	0.094169801
Eif2b4	2.953278512	3.002535008	3.987872944	4.089287833	3.610864167	4.046540437	3.920854472	3.708524356	3.115772023	3.179987562
Eif2b5	3.178532957	3.239196613	3.252614936	3.805354867	3.52264241	3.526227914	3.74469917	3.663833655	3.353125132	3.348974629
Eif2c1	1.199255337	1.079427811	-0.051487361	1.136296537	1.449199192	1.520022789	1.528506998	1.353995025	1.567841824	1.698284364
Eif2c2	-0.536730738	0.302739509	1.354586027	1.461208503	0.886940277	1.457102365	1.564619723	1.28795943	0.474061271	0.241847744
Eif2c3	-0.958986602	-1.03890164	-0.341850734	-0.711131735	-0.601914789	-0.600184929	-0.523594937	-0.507808052	-0.729941409	-0.656666329
Eif2c4	-0.654128869	-1.227044688	-1.863071491	-0.950823276	-1.381195631	-1.237848176	-1.114495669	-1.387706661	-0.785924274	-0.739242325
Eif2d	1.538613829	1.442786365	1.364973286	2.083952095	2.027237186	2.301491784	2.444822009	2.23546502	1.810157414	1.535591248
Eif2s1	3.222949513	3.212137863	3.475832788	3.926046953	3.567040783	3.898011444	3.881834784	3.937951899	3.400077238	3.270249094
Eif2s2	3.207562614	3.151368738	3.10241052	3.52181605	3.277821966	3.406635189	3.558348851	3.570000366	3.321454958	3.140211713
Eif2s3x	4.241233243	4.414890943	4.665772133	4.942187334	4.559583464	4.613841306	4.812705366	4.710469055	4.464041339	4.449183261
Eif2s3y	3.299143085	3.20018539	3.264232477	3.456781197	3.077327312	3.200660568	3.128647023	3.086799281	3.099323284	3.189291478
Eif3a	4.640141286	4.544093811	4.847261537	4.943288258	4.88332313	4.918512226	5.24918155	5.312828742	5.004540926	4.621023949
Eif3b	4.572590688	4.709336159	4.84495605	5.219485647	5.085018539	5.205015176	5.267528255	5.170641484	4.766880153	4.799006858
Eif3c	4.937910315	5.061563791	5.22649548	5.565614983	5.349219573	5.388809977	5.40569019	5.415695454	5.169862356	5.247340193
Eif3d	4.817072439	4.758605488	5.103737954	5.389309146	4.886950278	5.150379712	5.308226562	5.105723351	4.874876278	4.856631663
Eif3e	5.309356479	5.157199745	5.288286036	5.457181161	4.991052212	5.272469125	5.300406397	5.468209134	5.256057817	5.22410843
Eif3f	4.236510667	4.000780199	4.02133807	4.097880197	4.03468321	4.190790671	4.068057594	4.050793129	3.837439239	4.124498245
Eif3g	5.239884818	5.074021259	5.248525344	5.752333417	5.277121332	5.455535458	5.568847566	5.356182516	5.083894393	5.051474611
